"","ID","task","best","second_pref","third_pref","worst","brand_1","country_1","char_1","side_effects_1","price_1","brand_2","country_2","char_2","side_effects_2","price_2","brand_3","country_3","char_3","side_effects_3","price_3","brand_4","country_4","char_4","side_effects_4","price_4","regular_user","university_educated","over_50","attitude_quality","attitude_ingredients","attitude_patent","attitude_dominance","sim_b_branded","sim_b_cost","sim_b_country_CH","sim_b_country_DK","sim_b_country_USA","sim_b_country_IND","sim_b_country_RUS","sim_b_country_BRA","sim_b_char_fast","sim_b_char_double","sim_b_risk","new_choice"
"1",1,1,3,2,4,1,"Artemis","USA","fast acting",10,4.5,"Artemis","Denmark","standard",10,2.25,"Supermarket","India","fast acting",10,2.5,"BestValue","India","standard",10,1.5,1,0,0,2,3,3,5,1.97230823598802,-0.455352455982938,-1.61803670297697,0.204400158118951,1.54526075298775,3.79316035276159,0.160674262308448,-0.180755952532921,0.495111424475908,1.25007274607196,-0.00234221374883782,1
"2",1,2,2,1,4,3,"Novum","Denmark","standard",10,3,"Artemis","USA","fast acting",1,2.25,"BestValue","USA","fast acting",100,2.5,"PainAway","USA","fast acting",100,2.5,1,0,0,2,3,3,5,1.97230823598802,-0.455352455982938,-1.61803670297697,0.204400158118951,1.54526075298775,3.79316035276159,0.160674262308448,-0.180755952532921,0.495111424475908,1.25007274607196,-0.00234221374883782,2
"3",1,3,2,3,4,1,"Novum","USA","fast acting",100,4.5,"Novum","Denmark","fast acting",10,2.5,"BestValue","Russia","standard",1000,1.5,"Supermarket","Brazil","standard",10,1.5,1,0,0,2,3,3,5,1.97230823598802,-0.455352455982938,-1.61803670297697,0.204400158118951,1.54526075298775,3.79316035276159,0.160674262308448,-0.180755952532921,0.495111424475908,1.25007274607196,-0.00234221374883782,1
"4",1,4,2,3,4,1,"Artemis","Switzerland","double strength",1,4.5,"Novum","Switzerland","standard",100,2.25,"PainAway","Russia","fast acting",100,1.5,"BestValue","USA","fast acting",1000,0.75,1,0,0,2,3,3,5,1.97230823598802,-0.455352455982938,-1.61803670297697,0.204400158118951,1.54526075298775,3.79316035276159,0.160674262308448,-0.180755952532921,0.495111424475908,1.25007274607196,-0.00234221374883782,3
"5",1,5,2,3,1,4,"Artemis","USA","double strength",10,3,"Novum","Denmark","fast acting",1,2.25,"PainAway","USA","standard",10,1.5,"PainAway","Russia","standard",100,1.5,1,0,0,2,3,3,5,1.97230823598802,-0.455352455982938,-1.61803670297697,0.204400158118951,1.54526075298775,3.79316035276159,0.160674262308448,-0.180755952532921,0.495111424475908,1.25007274607196,-0.00234221374883782,1
"6",1,6,2,4,1,3,"Artemis","Switzerland","fast acting",10,2.5,"Novum","Denmark","fast acting",1,3,"PainAway","Brazil","fast acting",1000,0.75,"BestValue","Russia","fast acting",10,1.5,1,0,0,2,3,3,5,1.97230823598802,-0.455352455982938,-1.61803670297697,0.204400158118951,1.54526075298775,3.79316035276159,0.160674262308448,-0.180755952532921,0.495111424475908,1.25007274607196,-0.00234221374883782,2
"7",1,7,1,2,3,4,"Artemis","Denmark","double strength",10,4.5,"Novum","USA","fast acting",1,3,"PainAway","India","fast acting",100,2.5,"Supermarket","Brazil","standard",100,0.75,1,0,0,2,3,3,5,1.97230823598802,-0.455352455982938,-1.61803670297697,0.204400158118951,1.54526075298775,3.79316035276159,0.160674262308448,-0.180755952532921,0.495111424475908,1.25007274607196,-0.00234221374883782,3
"8",1,8,1,2,3,4,"Novum","Switzerland","fast acting",10,4.5,"Artemis","Denmark","double strength",10,3.5,"Supermarket","USA","standard",100,1.5,"BestValue","India","fast acting",100,2.25,1,0,0,2,3,3,5,1.97230823598802,-0.455352455982938,-1.61803670297697,0.204400158118951,1.54526075298775,3.79316035276159,0.160674262308448,-0.180755952532921,0.495111424475908,1.25007274607196,-0.00234221374883782,4
"9",1,9,4,2,3,1,"Artemis","USA","standard",1,3.5,"Novum","Switzerland","fast acting",10,4.5,"BestValue","Russia","standard",1000,2.25,"Supermarket","Russia","standard",100,2.5,1,0,0,2,3,3,5,1.97230823598802,-0.455352455982938,-1.61803670297697,0.204400158118951,1.54526075298775,3.79316035276159,0.160674262308448,-0.180755952532921,0.495111424475908,1.25007274607196,-0.00234221374883782,1
"10",1,10,2,3,1,4,"Novum","Denmark","standard",10,2.5,"Artemis","Switzerland","fast acting",10,2.25,"BestValue","USA","fast acting",1000,0.75,"PainAway","USA","standard",100,2.25,1,0,0,2,3,3,5,1.97230823598802,-0.455352455982938,-1.61803670297697,0.204400158118951,1.54526075298775,3.79316035276159,0.160674262308448,-0.180755952532921,0.495111424475908,1.25007274607196,-0.00234221374883782,1
